행정구역,2021년10월_계_총인구수,2021년10월_계_연령구간인구수,2021년10월_계_0세,2021년10월_계_1세,2021년10월_계_2세,2021년10월_계_3세,2021년10월_계_4세,2021년10월_계_5세,2021년10월_계_6세,2021년10월_계_7세,2021년10월_계_8세,2021년10월_계_9세,2021년10월_계_10세,2021년10월_계_11세,2021년10월_계_12세,2021년10월_계_13세,2021년10월_계_14세,2021년10월_계_15세,2021년10월_계_16세,2021년10월_계_17세,2021년10월_계_18세,2021년10월_계_19세,2021년10월_계_20세,2021년10월_계_21세,2021년10월_계_22세,2021년10월_계_23세,2021년10월_계_24세,2021년10월_계_25세,2021년10월_계_26세,2021년10월_계_27세,2021년10월_계_28세,2021년10월_계_29세,2021년10월_계_30세,2021년10월_계_31세,2021년10월_계_32세,2021년10월_계_33세,2021년10월_계_34세,2021년10월_계_35세,2021년10월_계_36세,2021년10월_계_37세,2021년10월_계_38세,2021년10월_계_39세,2021년10월_계_40세,2021년10월_계_41세,2021년10월_계_42세,2021년10월_계_43세,2021년10월_계_44세,2021년10월_계_45세,2021년10월_계_46세,2021년10월_계_47세,2021년10월_계_48세,2021년10월_계_49세,2021년10월_계_50세,2021년10월_계_51세,2021년10월_계_52세,2021년10월_계_53세,2021년10월_계_54세,2021년10월_계_55세,2021년10월_계_56세,2021년10월_계_57세,2021년10월_계_58세,2021년10월_계_59세,2021년10월_계_60세,2021년10월_계_61세,2021년10월_계_62세,2021년10월_계_63세,2021년10월_계_64세,2021년10월_계_65세,2021년10월_계_66세,2021년10월_계_67세,2021년10월_계_68세,2021년10월_계_69세,2021년10월_계_70세,2021년10월_계_71세,2021년10월_계_72세,2021년10월_계_73세,2021년10월_계_74세,2021년10월_계_75세,2021년10월_계_76세,2021년10월_계_77세,2021년10월_계_78세,2021년10월_계_79세,2021년10월_계_80세,2021년10월_계_81세,2021년10월_계_82세,2021년10월_계_83세,2021년10월_계_84세,2021년10월_계_85세,2021년10월_계_86세,2021년10월_계_87세,2021년10월_계_88세,2021년10월_계_89세,2021년10월_계_90세,2021년10월_계_91세,2021년10월_계_92세,2021년10월_계_93세,2021년10월_계_94세,2021년10월_계_95세,2021년10월_계_96세,2021년10월_계_97세,2021년10월_계_98세,2021년10월_계_99세,2021년10월_계_100세 이상,2021년10월_남_총인구수,2021년10월_남_연령구간인구수,2021년10월_남_0세,2021년10월_남_1세,2021년10월_남_2세,2021년10월_남_3세,2021년10월_남_4세,2021년10월_남_5세,2021년10월_남_6세,2021년10월_남_7세,2021년10월_남_8세,2021년10월_남_9세,2021년10월_남_10세,2021년10월_남_11세,2021년10월_남_12세,2021년10월_남_13세,2021년10월_남_14세,2021년10월_남_15세,2021년10월_남_16세,2021년10월_남_17세,2021년10월_남_18세,2021년10월_남_19세,2021년10월_남_20세,2021년10월_남_21세,2021년10월_남_22세,2021년10월_남_23세,2021년10월_남_24세,2021년10월_남_25세,2021년10월_남_26세,2021년10월_남_27세,2021년10월_남_28세,2021년10월_남_29세,2021년10월_남_30세,2021년10월_남_31세,2021년10월_남_32세,2021년10월_남_33세,2021년10월_남_34세,2021년10월_남_35세,2021년10월_남_36세,2021년10월_남_37세,2021년10월_남_38세,2021년10월_남_39세,2021년10월_남_40세,2021년10월_남_41세,2021년10월_남_42세,2021년10월_남_43세,2021년10월_남_44세,2021년10월_남_45세,2021년10월_남_46세,2021년10월_남_47세,2021년10월_남_48세,2021년10월_남_49세,2021년10월_남_50세,2021년10월_남_51세,2021년10월_남_52세,2021년10월_남_53세,2021년10월_남_54세,2021년10월_남_55세,2021년10월_남_56세,2021년10월_남_57세,2021년10월_남_58세,2021년10월_남_59세,2021년10월_남_60세,2021년10월_남_61세,2021년10월_남_62세,2021년10월_남_63세,2021년10월_남_64세,2021년10월_남_65세,2021년10월_남_66세,2021년10월_남_67세,2021년10월_남_68세,2021년10월_남_69세,2021년10월_남_70세,2021년10월_남_71세,2021년10월_남_72세,2021년10월_남_73세,2021년10월_남_74세,2021년10월_남_75세,2021년10월_남_76세,2021년10월_남_77세,2021년10월_남_78세,2021년10월_남_79세,2021년10월_남_80세,2021년10월_남_81세,2021년10월_남_82세,2021년10월_남_83세,2021년10월_남_84세,2021년10월_남_85세,2021년10월_남_86세,2021년10월_남_87세,2021년10월_남_88세,2021년10월_남_89세,2021년10월_남_90세,2021년10월_남_91세,2021년10월_남_92세,2021년10월_남_93세,2021년10월_남_94세,2021년10월_남_95세,2021년10월_남_96세,2021년10월_남_97세,2021년10월_남_98세,2021년10월_남_99세,2021년10월_남_100세 이상,2021년10월_여_총인구수,2021년10월_여_연령구간인구수,2021년10월_여_0세,2021년10월_여_1세,2021년10월_여_2세,2021년10월_여_3세,2021년10월_여_4세,2021년10월_여_5세,2021년10월_여_6세,2021년10월_여_7세,2021년10월_여_8세,2021년10월_여_9세,2021년10월_여_10세,2021년10월_여_11세,2021년10월_여_12세,2021년10월_여_13세,2021년10월_여_14세,2021년10월_여_15세,2021년10월_여_16세,2021년10월_여_17세,2021년10월_여_18세,2021년10월_여_19세,2021년10월_여_20세,2021년10월_여_21세,2021년10월_여_22세,2021년10월_여_23세,2021년10월_여_24세,2021년10월_여_25세,2021년10월_여_26세,2021년10월_여_27세,2021년10월_여_28세,2021년10월_여_29세,2021년10월_여_30세,2021년10월_여_31세,2021년10월_여_32세,2021년10월_여_33세,2021년10월_여_34세,2021년10월_여_35세,2021년10월_여_36세,2021년10월_여_37세,2021년10월_여_38세,2021년10월_여_39세,2021년10월_여_40세,2021년10월_여_41세,2021년10월_여_42세,2021년10월_여_43세,2021년10월_여_44세,2021년10월_여_45세,2021년10월_여_46세,2021년10월_여_47세,2021년10월_여_48세,2021년10월_여_49세,2021년10월_여_50세,2021년10월_여_51세,2021년10월_여_52세,2021년10월_여_53세,2021년10월_여_54세,2021년10월_여_55세,2021년10월_여_56세,2021년10월_여_57세,2021년10월_여_58세,2021년10월_여_59세,2021년10월_여_60세,2021년10월_여_61세,2021년10월_여_62세,2021년10월_여_63세,2021년10월_여_64세,2021년10월_여_65세,2021년10월_여_66세,2021년10월_여_67세,2021년10월_여_68세,2021년10월_여_69세,2021년10월_여_70세,2021년10월_여_71세,2021년10월_여_72세,2021년10월_여_73세,2021년10월_여_74세,2021년10월_여_75세,2021년10월_여_76세,2021년10월_여_77세,2021년10월_여_78세,2021년10월_여_79세,2021년10월_여_80세,2021년10월_여_81세,2021년10월_여_82세,2021년10월_여_83세,2021년10월_여_84세,2021년10월_여_85세,2021년10월_여_86세,2021년10월_여_87세,2021년10월_여_88세,2021년10월_여_89세,2021년10월_여_90세,2021년10월_여_91세,2021년10월_여_92세,2021년10월_여_93세,2021년10월_여_94세,2021년10월_여_95세,2021년10월_여_96세,2021년10월_여_97세,2021년10월_여_98세,2021년10월_여_99세,2021년10월_여_100세 이상,,,,,,,
경기도 고양시 덕양구 (4128100000),481840,481840,2730,2992,3114,3440,3705,4250,4289,4247,4126,4518,4484,4113,4008,4141,4019,3762,3705,4113,4421,4420,5077,5684,5690,5830,6140,6523,6622,6592,6792,7080,6822,6641,6353,6403,6428,6461,6858,6840,7798,8106,8243,8112,7783,7003,7386,7023,7548,8228,8350,8719,9166,8812,8909,8777,8075,7976,8231,7711,8238,7887,8434,8300,7233,6652,6378,5743,5866,4739,4101,4349,2847,3289,3423,3446,3412,2816,2653,2634,2709,3081,2471,2302,2200,1907,1698,1516,1322,1021,821,707,503,446,376,250,207,142,92,61,53,39,87,237946,237946,1391,1507,1541,1744,1959,2133,2168,2202,2099,2334,2301,2115,2069,2084,2087,1906,1811,2135,2304,2274,2605,2943,3015,2965,3192,3420,3409,3460,3507,3525,3374,3269,3171,3233,3258,3271,3457,3453,3951,4200,4157,4085,3847,3548,3666,3620,3744,4095,4145,4356,4595,4384,4430,4257,3906,3993,4062,3830,4209,3971,4297,4135,3670,3341,3172,2835,2774,2375,1959,2107,1308,1470,1556,1556,1492,1230,1108,1045,1102,1260,1016,923,834,720,594,530,458,308,247,210,162,101,91,59,49,26,19,17,16,12,20,243894,243894,1339,1485,1573,1696,1746,2117,2121,2045,2027,2184,2183,1998,1939,2057,1932,1856,1894,1978,2117,2146,2472,2741,2675,2865,2948,3103,3213,3132,3285,3555,3448,3372,3182,3170,3170,3190,3401,3387,3847,3906,4086,4027,3936,3455,3720,3403,3804,4133,4205,4363,4571,4428,4479,4520,4169,3983,4169,3881,4029,3916,4137,4165,3563,3311,3206,2908,3092,2364,2142,2242,1539,1819,1867,1890,1920,1586,1545,1589,1607,1821,1455,1379,1366,1187,1104,986,864,713,574,497,341,345,285,191,158,116,73,44,37,27,67,,,,,,,
경기도 고양시 일산동구 (4128500000),299757,299757,1262,1323,1622,1779,1930,2148,2446,2359,2452,2720,2658,2689,2639,2881,2905,2828,2744,3167,3119,3151,3713,4049,4008,4384,4558,4746,4774,4698,4615,4634,4301,3857,3716,3666,3439,3563,3520,3706,4106,4405,4581,4649,4684,4359,4535,4683,4863,5599,5767,6151,6475,6337,6242,5986,5416,5237,5275,5168,5303,5089,5250,4974,4366,3961,3744,3308,3147,2544,2218,2222,1446,1754,1692,1717,1789,1370,1292,1460,1415,1578,1336,1260,1179,1089,1004,906,846,688,550,451,329,306,248,201,125,85,78,38,42,27,43,145811,145811,639,656,818,919,982,1113,1312,1170,1252,1432,1309,1407,1397,1493,1494,1413,1422,1572,1625,1618,1988,2079,2055,2145,2191,2387,2427,2357,2282,2326,2171,1869,1884,1817,1634,1736,1773,1839,2019,2120,2129,2204,2251,2104,2099,2265,2341,2630,2653,2967,3120,3059,3018,2871,2553,2568,2555,2543,2635,2545,2721,2443,2197,2045,1943,1710,1561,1292,1138,1059,703,803,735,747,764,576,546,583,593,648,521,490,430,422,375,323,281,205,179,139,93,77,64,42,28,18,14,10,16,11,14,153946,153946,623,667,804,860,948,1035,1134,1189,1200,1288,1349,1282,1242,1388,1411,1415,1322,1595,1494,1533,1725,1970,1953,2239,2367,2359,2347,2341,2333,2308,2130,1988,1832,1849,1805,1827,1747,1867,2087,2285,2452,2445,2433,2255,2436,2418,2522,2969,3114,3184,3355,3278,3224,3115,2863,2669,2720,2625,2668,2544,2529,2531,2169,1916,1801,1598,1586,1252,1080,1163,743,951,957,970,1025,794,746,877,822,930,815,770,749,667,629,583,565,483,371,312,236,229,184,159,97,67,64,28,26,16,29,,,,,,,
경기도 고양시 일산서구 (4128700000),298643,298643,1376,1413,1668,1809,1997,2352,2520,2456,2680,2992,2979,3067,2936,3340,3358,3136,3178,3599,3449,3610,3891,4443,4100,4179,4223,4263,4096,4157,3959,3965,3803,3475,3384,3276,3230,3245,3399,3621,3993,4250,4431,4583,4553,4257,4609,4526,5051,5668,5943,6314,6600,6408,6240,6099,5501,5153,5400,4959,5067,4985,5052,4779,4245,3731,3692,3140,3118,2368,2044,2160,1411,1608,1701,1730,1818,1479,1448,1354,1500,1684,1477,1294,1302,1214,1069,988,844,669,533,452,372,321,234,186,132,76,59,43,29,25,48,144926,144926,681,703,865,918,1002,1186,1296,1292,1325,1496,1545,1566,1513,1648,1730,1598,1604,1820,1802,1832,1992,2378,2110,2171,2141,2287,2075,2133,2015,1943,1924,1749,1670,1625,1618,1562,1660,1768,1933,2046,2078,2149,2125,2030,2161,2103,2378,2702,2784,2912,3118,3040,3052,2912,2631,2562,2586,2413,2554,2489,2535,2444,2165,1913,1928,1624,1566,1175,965,1035,655,668,768,748,762,611,595,549,585,692,561,470,487,441,367,362,291,233,170,160,111,92,72,41,27,12,10,8,9,7,11,153717,153717,695,710,803,891,995,1166,1224,1164,1355,1496,1434,1501,1423,1692,1628,1538,1574,1779,1647,1778,1899,2065,1990,2008,2082,1976,2021,2024,1944,2022,1879,1726,1714,1651,1612,1683,1739,1853,2060,2204,2353,2434,2428,2227,2448,2423,2673,2966,3159,3402,3482,3368,3188,3187,2870,2591,2814,2546,2513,2496,2517,2335,2080,1818,1764,1516,1552,1193,1079,1125,756,940,933,982,1056,868,853,805,915,992,916,824,815,773,702,626,553,436,363,292,261,229,162,145,105,64,49,35,20,18,37,,,,,,,
경기도 과천시 (4129000000),69910,69910,479,484,470,569,585,663,681,722,646,728,700,646,671,679,677,619,597,698,689,768,821,924,887,957,994,984,952,904,962,964,1029,953,920,954,949,951,946,1062,1106,1090,1125,1092,1033,930,948,972,959,1069,1111,1198,1319,1256,1287,1274,1173,1178,1210,1110,1225,1134,1214,1166,992,992,916,838,821,672,610,577,414,487,463,435,439,363,318,329,355,365,281,281,270,243,220,189,191,141,131,120,72,86,58,59,29,26,24,10,15,5,10,34357,34357,261,231,250,299,325,347,349,376,332,379,354,344,335,341,348,300,315,388,349,374,446,471,474,500,557,508,503,478,498,491,502,495,466,480,436,509,458,544,538,519,575,536,525,450,452,464,442,537,542,577,627,572,599,583,550,570,590,559,618,578,605,533,471,506,463,410,405,319,308,276,195,232,215,201,197,161,149,127,159,148,114,115,107,99,76,66,71,41,34,40,18,28,19,11,4,6,2,2,4,1,3,35553,35553,218,253,220,270,260,316,332,346,314,349,346,302,336,338,329,319,282,310,340,394,375,453,413,457,437,476,449,426,464,473,527,458,454,474,513,442,488,518,568,571,550,556,508,480,496,508,517,532,569,621,692,684,688,691,623,608,620,551,607,556,609,633,521,486,453,428,416,353,302,301,219,255,248,234,242,202,169,202,196,217,167,166,163,144,144,123,120,100,97,80,54,58,39,48,25,20,22,8,11,4,7,,,,,,,
경기도 구리시 (4131000000),193014,193014,945,1054,1146,1268,1381,1585,1646,1694,1697,1775,1747,1693,1625,1671,1815,1719,1630,1801,1845,1883,2211,2498,2381,2546,2701,2785,2772,2810,2733,2724,2504,2445,2292,2222,2308,2368,2462,2609,2870,3183,3235,3355,3140,2793,2949,2913,3073,3305,3419,3500,3695,3688,3725,3823,3294,3424,3392,3164,3296,3388,3700,3505,3010,2803,2665,2376,2396,1924,1691,1906,1215,1297,1282,1354,1342,1032,989,974,970,1098,837,754,731,630,548,429,411,340,265,204,154,152,99,77,53,51,25,25,24,9,52,95747,95747,478,547,576,658,723,812,833,906,889,900,887,854,846,863,932,931,876,900,913,957,1129,1299,1194,1289,1380,1413,1465,1478,1390,1408,1248,1198,1136,1145,1168,1206,1211,1318,1458,1628,1649,1719,1588,1406,1500,1470,1496,1628,1679,1741,1762,1824,1761,1797,1608,1679,1705,1585,1658,1768,1798,1743,1598,1388,1327,1189,1189,952,838,919,588,613,607,617,582,451,449,403,418,475,345,295,302,246,211,146,131,113,85,62,47,40,33,13,11,13,4,9,7,3,22,97267,97267,467,507,570,610,658,773,813,788,808,875,860,839,779,808,883,788,754,901,932,926,1082,1199,1187,1257,1321,1372,1307,1332,1343,1316,1256,1247,1156,1077,1140,1162,1251,1291,1412,1555,1586,1636,1552,1387,1449,1443,1577,1677,1740,1759,1933,1864,1964,2026,1686,1745,1687,1579,1638,1620,1902,1762,1412,1415,1338,1187,1207,972,853,987,627,684,675,737,760,581,540,571,552,623,492,459,429,384,337,283,280,227,180,142,107,112,66,64,42,38,21,16,17,6,30,,,,,,,
경기도 남양주시 (4136000000),729918,729918,3676,4358,4897,5558,6164,7120,7548,7585,7905,8585,8410,8042,7873,8155,8307,7352,7161,7745,7478,7730,8530,9030,8580,8576,8787,8825,8746,8421,8296,8541,7912,7585,7384,7751,7763,8359,9021,9773,11352,12702,13412,13889,13176,12290,12526,12186,12875,13822,13714,13712,14443,13423,13365,13013,11655,11470,11387,10786,10988,10937,11448,11517,10116,9622,9381,8540,8727,7362,6285,7085,4742,5232,5303,5389,5265,4082,3954,3863,3824,4293,3315,3020,2841,2322,2110,1783,1649,1249,1032,884,659,572,488,364,250,183,125,92,89,72,137,363233,363233,1883,2281,2556,2902,3146,3696,3799,3891,4023,4427,4316,4193,3990,4191,4285,3769,3656,4004,3845,4001,4399,4815,4408,4464,4526,4633,4611,4386,4304,4433,4028,3866,3702,3891,3810,4051,4359,4787,5585,6134,6614,6800,6510,6098,6273,6107,6458,7030,7015,6980,7372,6945,6751,6510,5841,5955,5801,5513,5694,5621,5720,5725,5001,4782,4521,4169,4086,3533,2995,3344,2261,2417,2472,2527,2489,1797,1800,1702,1680,1882,1425,1261,1156,920,788,618,573,413,294,253,182,125,130,88,40,28,19,22,18,12,31,366685,366685,1793,2077,2341,2656,3018,3424,3749,3694,3882,4158,4094,3849,3883,3964,4022,3583,3505,3741,3633,3729,4131,4215,4172,4112,4261,4192,4135,4035,3992,4108,3884,3719,3682,3860,3953,4308,4662,4986,5767,6568,6798,7089,6666,6192,6253,6079,6417,6792,6699,6732,7071,6478,6614,6503,5814,5515,5586,5273,5294,5316,5728,5792,5115,4840,4860,4371,4641,3829,3290,3741,2481,2815,2831,2862,2776,2285,2154,2161,2144,2411,1890,1759,1685,1402,1322,1165,1076,836,738,631,477,447,358,276,210,155,106,70,71,60,106,,,,,,,
경기도 오산시 (4137000000),230403,230403,1357,1568,1699,1953,2160,2487,2642,2608,2683,2960,2796,2683,2551,2619,2620,2328,2223,2339,2345,2369,2676,2839,2755,2868,2983,3117,3295,3479,3550,3774,3510,3392,3284,3329,3386,3580,3804,3903,4406,5067,4919,5044,4565,4201,4236,4041,4184,4420,4180,4023,4111,3838,3877,3836,3340,3097,3215,2801,2861,2956,3164,3058,2570,2334,2152,1959,2018,1640,1363,1556,1063,1148,1165,1135,1104,844,854,869,821,951,718,628,596,570,415,417,357,269,197,165,123,122,75,76,47,40,35,15,5,5,28,119588,119588,709,769,901,1007,1107,1233,1363,1300,1393,1498,1442,1352,1313,1384,1345,1193,1127,1204,1207,1171,1390,1490,1454,1507,1557,1672,1777,2005,1993,2164,1969,1901,1869,1800,1789,1914,2048,2089,2361,2737,2707,2655,2412,2271,2245,2159,2262,2344,2164,2139,2146,2071,2064,1967,1688,1660,1676,1470,1476,1551,1579,1574,1288,1160,1072,947,992,810,637,756,488,537,525,550,493,380,370,341,331,402,293,251,233,213,136,152,123,97,61,48,27,25,16,15,6,4,13,4,0,1,7,110815,110815,648,799,798,946,1053,1254,1279,1308,1290,1462,1354,1331,1238,1235,1275,1135,1096,1135,1138,1198,1286,1349,1301,1361,1426,1445,1518,1474,1557,1610,1541,1491,1415,1529,1597,1666,1756,1814,2045,2330,2212,2389,2153,1930,1991,1882,1922,2076,2016,1884,1965,1767,1813,1869,1652,1437,1539,1331,1385,1405,1585,1484,1282,1174,1080,1012,1026,830,726,800,575,611,640,585,611,464,484,528,490,549,425,377,363,357,279,265,234,172,136,117,96,97,59,61,41,36,22,11,5,4,21,,,,,,,
경기도 시흥시 (4139000000),511888,511888,3311,3689,4214,4446,4924,5390,5719,5285,5255,5738,5412,5136,5079,5243,5170,4734,4595,4803,5001,5128,5927,6676,6249,6780,6881,7207,7368,7258,7461,7621,7310,7077,6960,6914,7140,7430,7621,8308,9124,10146,10014,10259,9318,8602,8677,8456,8902,9511,9327,9259,9834,9551,9971,9897,9132,8518,8765,7893,8071,8137,8168,7629,6631,5894,5387,4534,4605,3580,3076,3317,2226,2405,2394,2277,2218,1699,1694,1640,1635,1924,1524,1325,1314,1227,976,888,731,665,489,421,321,309,248,198,157,74,70,46,35,37,76,267351,267351,1666,1870,2156,2219,2488,2681,2934,2697,2666,2971,2773,2591,2631,2685,2581,2398,2312,2537,2555,2719,3169,3643,3317,3574,3649,3905,4118,3951,4154,4244,4022,3839,3820,3652,3744,3941,4086,4447,4786,5446,5407,5524,5074,4638,4745,4649,4831,5208,4930,4842,5045,4966,5184,5025,4693,4580,4617,4226,4396,4407,4425,4187,3626,3151,2835,2301,2346,1884,1586,1694,1090,1174,1154,1115,1022,732,735,714,696,799,580,471,455,432,321,261,212,177,136,98,80,57,46,34,23,17,18,9,7,7,20,244537,244537,1645,1819,2058,2227,2436,2709,2785,2588,2589,2767,2639,2545,2448,2558,2589,2336,2283,2266,2446,2409,2758,3033,2932,3206,3232,3302,3250,3307,3307,3377,3288,3238,3140,3262,3396,3489,3535,3861,4338,4700,4607,4735,4244,3964,3932,3807,4071,4303,4397,4417,4789,4585,4787,4872,4439,3938,4148,3667,3675,3730,3743,3442,3005,2743,2552,2233,2259,1696,1490,1623,1136,1231,1240,1162,1196,967,959,926,939,1125,944,854,859,795,655,627,519,488,353,323,241,252,202,164,134,57,52,37,28,30,56,,,,,,,
경기도 군포시 (4141000000),269215,269215,1371,1439,1606,1601,1837,2089,2092,2199,2290,2399,2507,2399,2332,2564,2587,2450,2442,2689,2772,2857,3140,3587,3381,3512,3592,3799,3890,3960,4024,4120,4069,3752,3639,3553,3509,3580,3496,3611,3875,4108,4181,4233,4090,3763,4035,3957,4126,4657,4900,4784,5119,5059,5056,5081,4451,4523,4608,4291,4564,4747,5110,4983,4352,4044,3709,3282,3209,2619,2205,2361,1620,1766,1704,1657,1799,1366,1256,1261,1234,1485,1186,1030,978,977,863,741,683,630,482,401,267,256,193,173,117,72,57,34,33,26,50,133506,133506,705,733,820,831,924,1056,1071,1134,1169,1201,1327,1274,1186,1314,1358,1257,1258,1398,1432,1471,1580,1910,1760,1798,1812,2030,2039,2113,2073,2173,2130,1957,1929,1839,1884,1840,1836,1893,2023,2055,2116,2129,2045,1874,1956,1965,2001,2220,2445,2389,2455,2513,2495,2378,2106,2298,2237,2097,2243,2309,2451,2445,2154,1960,1855,1617,1534,1320,1101,1151,804,850,841,802,788,584,553,528,521,588,495,383,378,346,304,238,223,210,162,115,78,71,55,42,29,21,8,12,8,5,12,135709,135709,666,706,786,770,913,1033,1021,1065,1121,1198,1180,1125,1146,1250,1229,1193,1184,1291,1340,1386,1560,1677,1621,1714,1780,1769,1851,1847,1951,1947,1939,1795,1710,1714,1625,1740,1660,1718,1852,2053,2065,2104,2045,1889,2079,1992,2125,2437,2455,2395,2664,2546,2561,2703,2345,2225,2371,2194,2321,2438,2659,2538,2198,2084,1854,1665,1675,1299,1104,1210,816,916,863,855,1011,782,703,733,713,897,691,647,600,631,559,503,460,420,320,286,189,185,138,131,88,51,49,22,25,21,38,,,,,,,
경기도 의왕시 (4143000000),163704,163704,950,984,1070,1185,1298,1443,1476,1414,1459,1456,1404,1346,1345,1429,1421,1305,1284,1455,1549,1631,2035,2154,2109,2251,2283,2331,2351,2472,2413,2471,2454,2265,2247,2138,2233,2179,2249,2220,2405,2521,2631,2498,2323,1989,2238,2237,2238,2537,2715,2740,3007,2922,3051,3126,2858,2728,2990,2800,2971,2884,3165,3102,2769,2610,2446,2089,2215,1755,1487,1504,1017,1038,1174,1079,998,818,722,759,711,880,663,563,598,529,481,394,394,318,265,216,185,150,117,84,68,54,31,26,28,11,23,81341,81341,482,527,585,612,699,708,770,731,697,771,735,686,687,735,728,690,645,713,837,820,1063,1086,1103,1153,1173,1236,1280,1325,1291,1325,1254,1163,1164,1086,1146,1102,1201,1132,1208,1326,1332,1276,1192,1009,1104,1135,1100,1238,1318,1287,1387,1351,1455,1497,1343,1365,1493,1359,1473,1338,1542,1521,1369,1304,1238,1042,1092,889,750,806,527,504,555,509,488,389,335,347,293,386,276,213,242,202,160,123,116,88,71,58,48,38,27,19,15,10,7,5,6,2,2,82363,82363,468,457,485,573,599,735,706,683,762,685,669,660,658,694,693,615,639,742,712,811,972,1068,1006,1098,1110,1095,1071,1147,1122,1146,1200,1102,1083,1052,1087,1077,1048,1088,1197,1195,1299,1222,1131,980,1134,1102,1138,1299,1397,1453,1620,1571,1596,1629,1515,1363,1497,1441,1498,1546,1623,1581,1400,1306,1208,1047,1123,866,737,698,490,534,619,570,510,429,387,412,418,494,387,350,356,327,321,271,278,230,194,158,137,112,90,65,53,44,24,21,22,9,21,,,,,,,
경기도 하남시 (4145000000),314866,314866,2223,2329,2642,3065,3259,3732,3845,3682,3604,3659,3426,3297,2906,3000,2914,2441,2359,2450,2417,2543,2905,3126,3202,3344,3687,3887,4207,4398,4536,4942,4893,4667,4648,4685,4875,5066,5245,5467,6350,6782,6872,6769,6274,5368,5465,5054,4952,5287,4959,5079,5203,4862,4746,4685,4338,4178,4248,4070,4336,4390,4883,4883,4307,4085,4052,3604,3725,3150,2745,3005,2020,2125,2197,2124,2034,1466,1338,1303,1185,1317,1020,896,874,763,612,604,501,428,343,288,258,214,159,132,104,64,49,37,50,26,56,157644,157644,1138,1216,1367,1568,1706,1923,1945,1860,1819,1919,1665,1695,1443,1499,1496,1240,1227,1224,1245,1270,1506,1620,1588,1649,1853,1888,2084,2216,2309,2478,2490,2359,2355,2299,2442,2580,2625,2776,3235,3441,3436,3467,3217,2802,2897,2689,2590,2815,2571,2689,2708,2483,2390,2293,2162,2094,2140,2042,2085,2168,2389,2330,2057,2005,1963,1736,1801,1520,1319,1485,985,1048,1132,1105,1051,743,673,641,553,565,454,370,330,297,219,204,146,113,96,62,65,46,37,29,17,13,12,11,9,5,12,157222,157222,1085,1113,1275,1497,1553,1809,1900,1822,1785,1740,1761,1602,1463,1501,1418,1201,1132,1226,1172,1273,1399,1506,1614,1695,1834,1999,2123,2182,2227,2464,2403,2308,2293,2386,2433,2486,2620,2691,3115,3341,3436,3302,3057,2566,2568,2365,2362,2472,2388,2390,2495,2379,2356,2392,2176,2084,2108,2028,2251,2222,2494,2553,2250,2080,2089,1868,1924,1630,1426,1520,1035,1077,1065,1019,983,723,665,662,632,752,566,526,544,466,393,400,355,315,247,226,193,168,122,103,87,51,37,26,41,21,44,,,,,,,
경기도 용인시 (4146000000),1079609,1079609,5934,6564,7451,8237,9264,10606,11575,11540,11757,12850,12512,12297,11898,12673,12960,11593,11131,11805,11848,12804,13418,14724,13853,13921,14074,14014,13734,13732,13523,13550,12788,12271,12475,12424,12668,13403,14046,15102,17272,18950,19640,20265,19850,17952,19234,18649,19507,21326,20660,20704,21640,20353,19720,18688,16599,15275,15568,14236,14588,13822,14886,14106,12752,11723,11204,10554,11044,9244,8654,9280,6327,7358,7416,7547,7789,6304,5806,5571,5568,6230,5111,4290,4076,3467,3156,2676,2446,1979,1612,1350,989,881,735,565,386,252,229,152,128,93,156,535631,535631,3043,3292,3826,4176,4820,5444,5955,5875,5978,6554,6411,6267,6111,6439,6602,6006,5734,5979,6064,6693,6936,7544,7100,7142,7320,7283,7340,7312,7087,7113,6462,6215,6247,6164,6204,6685,6909,7332,8504,9295,9652,9864,9598,8766,9425,9268,9626,10599,10252,10422,10988,10222,9887,9348,8381,7841,8053,7296,7534,7040,7500,7077,6383,5730,5277,5013,5156,4209,3914,4223,2807,3329,3358,3405,3412,2813,2656,2541,2527,2873,2369,1935,1777,1512,1339,1045,972,714,572,478,285,271,195,135,82,59,50,41,31,18,23,543978,543978,2891,3272,3625,4061,4444,5162,5620,5665,5779,6296,6101,6030,5787,6234,6358,5587,5397,5826,5784,6111,6482,7180,6753,6779,6754,6731,6394,6420,6436,6437,6326,6056,6228,6260,6464,6718,7137,7770,8768,9655,9988,10401,10252,9186,9809,9381,9881,10727,10408,10282,10652,10131,9833,9340,8218,7434,7515,6940,7054,6782,7386,7029,6369,5993,5927,5541,5888,5035,4740,5057,3520,4029,4058,4142,4377,3491,3150,3030,3041,3357,2742,2355,2299,1955,1817,1631,1474,1265,1040,872,704,610,540,430,304,193,179,111,97,75,133,,,,,,,
